PosGroup,Height,Weight,Birthdate,Exp
off,78,307,3-Jun-92,3
dback,75,215,12-Apr-90,3
dback,71,212,27-Jan-92,4
dback,71,212,27-Jan-92,4
dback,70,198,29-Oct-88,5
lineb,72,240,13-Mar-92,4
lineb,75,259,1-Jul-94,0
dback,70,197,22-Mar-85,9
dback,70,197,22-Mar-85,9
off,77,340,14-Jun-86,7
lineb,76,268,24-May-90,3
lineb,75,242,22-Nov-82,12
dback,74,200,1-Dec-91,3
dback,70,212,12-Jun-88,6
dback,70,195,10-Sep-89,1
dback,72,185,5-Aug-92,2
dback,70,200,30-Mar-90,5
lineb,76,245,23-Mar-91,3
dback,71,204,2-Jan-86,8
lineb,73,237,28-Mar-88,5
dback,74,208,1-Jan-90,5
off,77,297,9-Jan-91,3
dback,70,180,30-Sep-83,10
off,75,308,2-Jul-89,5
dback,72,199,26-Sep-92,2
lineb,77,265,27-Feb-90,5
lineb,77,265,27-Feb-90,5
lineb,75,251,18-Feb-91,3
dback,72,205,27-Oct-87,6
dback,70,200,29-Nov-93,0
lineb,76,285,24-Jul-90,4
lineb,73,222,4-Nov-94,0
dback,71,195,14-May-90,4
lineb,75,248,13-Oct-89,4
dback,70,190,20-Sep-93,0
dback,73,214,25-Feb-88,7
dback,71,210,6-Aug-93,2
dback,72,200,21-Oct-92,0
dback,71,185,16-Apr-84,11
dback,70,207,8-Sep-93,0
dback,68,184,27-Nov-90,3
lineb,75,275,15-Aug-92,0
off,79,317,6-Jul-89,5
off,74,300,29-Mar-85,10
dback,76,215,11-Feb-94,0
dback,74,190,24-Feb-93,0
off,75,300,10-May-90,4
off,76,313,30-May-93,0
lineb,72,232,29-Feb-92,2
lineb,75,251,24-Jun-91,3
dback,71,208,17-Dec-87,5
lineb,76,265,16-Aug-88,6
lineb,74,223,23-Jan-93,2
lineb,75,246,24-Jul-92,2
off,75,308,18-Dec-87,6
dback,74,222,10-May-93,0
dback,73,212,29-Oct-92,2
dback,74,220,8-Jun-93,2
lineb,72,225,2-Jul-93,0
dback,74,185,26-Oct-89,5
lineb,74,235,31-Aug-92,3
lineb,73,240,30-Jul-91,4
off,79,322,21-Jul-93,3
lineb,75,238,20-Apr-91,5
lineb,74,242,26-May-93,0
off,78,310,5-Jun-92,2
lineb,76,245,8-Jun-89,5
lineb,74,245,14-Sep-92,0
dback,72,190,14-Jul-90,5
off,76,318,20-Sep-87,8
off,76,335,8-Jul-91,1
off,75,326,26-Oct-87,7
dback,69,192,23-Apr-91,3
off,75,320,29-Apr-89,4
dback,70,190,25-Jul-94,0
lineb,73,232,18-Oct-94,0
lineb,74,238,22-Jul-86,7
lineb,75,255,19-Nov-91,4
off,75,305,9-Oct-91,3
dback,71,200,27-Mar-87,5
off,74,303,15-May-86,8
lineb,74,234,26-Mar-87,8
off,79,309,22-Jul-91,3
dback,72,205,16-Jun-88,7
off,73,311,30-Jan-91,4
dback,70,185,11-Feb-89,4
off,74,295,22-Mar-85,8
off,78,309,25-Jan-92,3
off,75,301,27-Jul-91,3
dback,75,194,2-Jul-92,2
lineb,75,227,18-Nov-93,0
off,77,324,8-Nov-90,3
lineb,71,232,2-Oct-93,0
dback,71,212,23-Jan-86,9
off,81,330,18-Jul-91,3
dback,72,204,2-Aug-93,0
lineb,72,245,6-Dec-92,0
lineb,77,270,8-Mar-93,3
lineb,72,229,4-Aug-93,2
off,76,311,19-Nov-85,8
dback,71,200,11-Jun-92,2
lineb,75,250,4-Feb-93,0
off,76,310,23-Apr-92,2
off,76,307,13-Jan-84,11
lineb,72,222,5-Jul-93,2
dback,73,210,25-Jul-92,2
lineb,76,245,7-Jul-92,3
lineb,73,250,10-Sep-89,5
dback,73,206,30-Jun-92,2
lineb,74,236,5-Jun-92,1
lineb,74,236,5-Jun-92,1
lineb,75,245,7-Nov-91,4
lineb,78,272,19-Feb-92,3
lineb,78,272,19-Feb-92,3
off,75,321,29-Nov-93,3
off,76,299,29-Apr-93,0
dback,74,220,26-Feb-93,2
off,76,310,20-Nov-90,3
lineb,74,237,9-Jan-94,0
lineb,75,235,14-Oct-90,1
off,78,320,1-Aug-89,5
lineb,73,235,22-Dec-92,0
dback,69,186,13-May-92,4
dback,69,186,13-May-92,4
off,77,301,1-Nov-81,12
off,77,301,1-Nov-81,12
lineb,74,245,26-Feb-81,14
